word_punct;word_no_punct;text_nr;trial_nr
Beim;Beim;text_01;1
Anblick;Anblick;text_01;2
der;der;text_01;3
Tiere;Tiere;text_01;4
wird;wird;text_01;5
klar,;klar;text_01;6
warum;warum;text_01;7
die;die;text_01;8
Seeleute;Seeleute;text_01;9
vergangener;vergangener;text_01;10
Jahrhunderte;Jahrhunderte;text_01;11
Angst;Angst;text_01;12
vor;vor;text_01;13
Seeungeheuern;Seeungeheuern;text_01;14
hatten.;hatten;text_01;15
Meterlange;Meterlange;text_01;16
Fangarme,;Fangarme;text_01;17
spitze;spitze;text_01;18
Mäuler;Mäuler;text_01;19
und;und;text_01;20
riesige;riesige;text_01;21
Augen;Augen;text_01;22
verleihen;verleihen;text_01;23
den;den;text_01;24
großen;großen;text_01;25
Kalmaren;Kalmaren;text_01;26
ein;ein;text_01;27
furchterregendes;furchterregendes;text_01;28
Aussehen.;Aussehen;text_01;29
Vor;Vor;text_01;30
der;der;text_01;31
Küste;Küste;text_01;32
Chiles;Chiles;text_01;33
sind;sind;text_01;34
sie;sie;text_01;35
aktuell;aktuell;text_01;36
in;in;text_01;37
Massen;Massen;text_01;38
zu;zu;text_01;39
sehen.;sehen;text_01;40
Hunderte;Hunderte;text_01;41
von;von;text_01;42
riesigen;riesigen;text_01;43
Tintenfischen;Tintenfischen;text_01;44
schwimmen;schwimmen;text_01;45
in;in;text_01;46
den;den;text_01;47
flachen;flachen;text_01;48
Gewässern;Gewässern;text_01;49
und;und;text_01;50
fressen;fressen;text_01;51
dort;dort;text_01;52
die;die;text_01;53
Fische.;Fische;text_01;54
Normalerweise;Normalerweise;text_01;55
sind;sind;text_01;56
die;die;text_01;57
großen;großen;text_01;58
Kalmare;Kalmare;text_01;59
nur;nur;text_01;60
schwer;schwer;text_01;61
zu;zu;text_01;62
beobachten.;beobachten;text_01;63
Sie;Sie;text_01;64
leben;leben;text_01;65
eigentlich;eigentlich;text_01;66
im;im;text_01;67
offenen;offenen;text_01;68
Meer.;Meer;text_01;69
Nur;Nur;text_01;70
nachts;nachts;text_01;71
kommen;kommen;text_01;72
sie;sie;text_01;73
an;an;text_01;74
die;die;text_01;75
Oberfläche,;Oberfläche;text_01;76
um;um;text_01;77
kleine;kleine;text_01;78
Fische;Fische;text_01;79
zu;zu;text_01;80
jagen.;jagen;text_01;81
Seit;Seit;text_01;82
zwei;zwei;text_01;83
Wochen;Wochen;text_01;84
aber;aber;text_01;85
sind;sind;text_01;86
sie;sie;text_01;87
auch;auch;text_01;88
bei;bei;text_01;89
Tageslicht;Tageslicht;text_01;90
vor;vor;text_01;91
der;der;text_01;92
Küste;Küste;text_01;93
zu;zu;text_01;94
sehen.;sehen;text_01;95
Zunächst;Zunächst;text_01;96
wurden;wurden;text_01;97
mehr;mehr;text_01;98
als;als;text_01;99
200;200;text_01;100
Kalmare;Kalmare;text_01;101
vor;vor;text_01;102
einer;einer;text_01;103
Insel;Insel;text_01;104
vor;vor;text_01;105
Chile;Chile;text_01;106
gesichtet.;gesichtet;text_01;107
Später;Später;text_01;108
wurden;wurden;text_01;109
dann;dann;text_01;110
weitere;weitere;text_01;111
Kalmare;Kalmare;text_01;112
an;an;text_01;113
anderen;anderen;text_01;114
Orten;Orten;text_01;115
entlang;entlang;text_01;116
der;der;text_01;117
Küste;Küste;text_01;118
Chiles;Chiles;text_01;119
beobachtet.;beobachtet;text_01;120
Vor;Vor;text_01;121
allem;allem;text_01;122
für;für;text_01;123
die;die;text_01;124
Fischer;Fischer;text_01;125
ist;ist;text_01;126
das;das;text_01;127
ärgerlich.;ärgerlich;text_01;128
Die;Die;text_01;129
Kalmare;Kalmare;text_01;130
fressen;fressen;text_01;131
Hechte,;Hechte;text_01;132
Sardinen;Sardinen;text_01;133
und;und;text_01;134
Sardellen.;Sardellen;text_01;135
Und;Und;text_01;136
sie;sie;text_01;137
haben;haben;text_01;138
großen;großen;text_01;139
Hunger -;Hunger;text_01;140
